student_id,gender,age,study_hours,attendance,previous_score,assignments_completed,internet_access,extracurricular,final_grade,performance
1036,Female,21,6,65,56,6,Yes,No,66,Good
1037,Female,22,2,50,69,9,Yes,Yes,51,Average
1038,Female,17,6,54,96,3,No,No,60,Average
1039,Male,22,9,95,59,9,Yes,No,76,Good
1040,Male,18,2,56,87,8,Yes,No,60,Average
1041,Male,21,6,63,83,10,No,No,69,Good
1042,Male,16,7,67,42,0,No,Yes,50,Average
1043,Male,21,8,85,85,6,Yes,Yes,74,Good
1044,Male,20,1,73,77,8,Yes,No,54,Average
1045,Male,18,6,100,95,0,No,Yes,72,Good
1046,Female,18,9,76,79,2,Yes,Yes,71,Good
1047,Male,16,3,97,99,5,No,Yes,71,Good
1048,Female,22,2,74,95,0,No,Yes,54,Average
1049,Female,18,5,100,95,3,Yes,Yes,75,Good
1050,Male,18,5,54,89,4,No,No,61,Average
1051,Female,16,5,61,77,4,Yes,Yes,66,Good
1052,Female,21,6,77,78,8,Yes,No,70,Good
1053,Male,16,7,50,73,8,Yes,No,70,Good
1054,Female,21,6,89,60,10,Yes,No,81,Excellent
1055,Female,21,7,70,65,4,Yes,Yes,70,Good
1056,Female,21,3,89,76,4,No,Yes,62,Average
1057,Female,17,7,100,77,9,No,No,86,Excellent
1058,Female,21,4,82,70,2,Yes,No,69,Good
1059,Male,16,4,93,59,3,Yes,Yes,54,Average
1060,Female,17,8,89,94,1,No,No,74,Good
1061,Male,19,7,65,49,10,Yes,Yes,70,Good
1062,Male,17,9,79,43,8,Yes,Yes,76,Good
1063,Female,22,8,92,73,8,No,No,86,Excellent
1064,Male,22,9,78,97,2,No,No,77,Good
1065,Female,22,5,99,89,8,No,Yes,77,Good
1066,Male,16,5,65,57,5,No,Yes,50,Average
1067,Female,17,7,94,49,3,Yes,No,71,Good
1068,Female,20,8,76,43,3,No,No,51,Average
1069,Male,19,1,72,59,6,No,Yes,55,Average
1070,Female,18,7,81,41,6,No,No,57,Average
1071,Male,17,10,84,41,6,Yes,Yes,76,Good
1072,Female,22,8,61,43,4,No,No,53,Average
1073,Male,18,6,98,96,6,No,No,79,Good
1074,Male,19,1,97,74,0,No,Yes,48,Poor
1075,Female,22,1,65,52,0,Yes,Yes,37,Poor
1076,Male,21,2,86,100,3,No,No,67,Good
1077,Male,20,10,97,85,1,Yes,No,79,Good
1078,Male,18,10,93,98,6,No,Yes,82,Excellent
1079,Female,16,5,93,78,1,Yes,No,73,Good
1080,Female,16,9,91,61,0,No,No,63,Average
1081,Female,18,8,95,49,6,Yes,No,79,Good
1082,Male,19,10,67,60,3,Yes,No,75,Good
1083,Female,22,8,86,79,10,No,No,72,Good
1084,Female,22,6,61,71,3,No,No,60,Average
1085,Female,20,5,85,40,8,Yes,Yes,60,Average
1086,Male,19,9,98,55,7,No,No,67,Good
1087,Female,18,4,75,84,3,No,No,68,Good
1088,Male,19,9,71,62,7,No,No,69,Good
1089,Female,16,4,70,47,8,Yes,Yes,54,Average
1090,Female,18,10,98,73,9,No,Yes,83,Excellent
1091,Male,17,6,61,59,0,Yes,No,47,Poor
1092,Female,20,5,94,100,2,No,Yes,65,Good
1093,Male,19,8,78,61,2,Yes,No,74,Good
1094,Female,22,2,75,71,1,Yes,Yes,49,Poor
1095,Female,16,4,57,75,6,Yes,No,65,Good
1096,Male,18,10,77,59,9,Yes,Yes,76,Good
1097,Female,18,2,60,55,2,Yes,Yes,36,Poor
1098,Female,19,10,80,58,0,Yes,No,70,Good
1099,Male,16,4,66,90,10,Yes,No,65,Good
1100,Female,21,3,67,92,2,Yes,Yes,57,Average
1101,Female,20,10,68,68,1,No,No,71,Good
1102,Female,20,9,81,68,1,Yes,No,73,Good
1103,Male,16,2,64,83,9,Yes,No,54,Average
1104,Male,19,9,91,68,4,Yes,No,84,Excellent
1105,Female,19,6,76,61,5,Yes,Yes,66,Good
1106,Female,21,8,68,82,6,Yes,No,68,Good
1107,Male,18,6,57,89,6,Yes,No,73,Good
1108,Female,17,9,73,79,7,No,Yes,73,Good
1109,Male,20,3,68,68,7,Yes,Yes,57,Average
1110,Female,18,9,50,75,6,Yes,Yes,64,Average
1111,Female,16,3,81,99,4,No,No,72,Good
1112,Female,17,8,85,49,6,Yes,Yes,63,Average
1113,Female,22,7,71,99,8,No,Yes,78,Good
1114,Female,22,10,87,82,7,Yes,No,93,Excellent
1115,Male,18,9,98,74,6,No,No,78,Good
1116,Female,20,7,64,94,6,Yes,No,81,Excellent
1117,Male,19,3,81,42,2,No,Yes,52,Average
1118,Female,20,8,50,86,2,No,Yes,57,Average
1119,Female,22,5,71,79,6,Yes,No,70,Good
1120,Male,21,8,84,42,9,Yes,Yes,71,Good
1121,Female,21,2,77,46,10,Yes,No,52,Average
1122,Female,16,1,70,90,0,No,No,54,Average
1123,Male,17,4,83,66,9,Yes,Yes,64,Average
1124,Female,20,7,89,83,3,No,Yes,71,Good
1125,Male,21,5,79,56,10,Yes,No,67,Good
1126,Female,16,8,72,77,4,No,No,75,Good
1127,Female,17,7,80,46,3,No,No,59,Average
1128,Male,16,7,67,40,9,Yes,No,63,Average
1129,Male,20,6,64,80,3,No,Yes,56,Average
1130,Female,18,8,52,77,5,Yes,Yes,68,Good
1131,Female,21,7,61,52,2,No,No,50,Average
1132,Male,22,8,68,87,5,Yes,No,68,Good
1133,Female,22,4,93,86,10,No,No,68,Good
1134,Female,16,5,84,47,7,No,No,63,Average
1135,Female,16,4,80,41,9,No,Yes,49,Poor
1136,Female,21,5,91,66,1,Yes,Yes,57,Average
1137,Female,19,2,56,55,8,Yes,No,55,Average
1138,Female,21,9,76,77,2,No,Yes,77,Good
1139,Female,18,1,94,63,3,No,No,52,Average
1140,Female,16,6,84,97,10,No,Yes,83,Excellent
1141,Female,17,2,79,45,10,Yes,Yes,48,Poor
1142,Male,17,3,100,76,3,Yes,Yes,64,Average
1143,Male,18,3,100,97,9,Yes,No,75,Good
1144,Female,20,5,61,47,10,Yes,Yes,50,Average
1145,Male,22,4,87,60,0,Yes,No,50,Average
1146,Male,21,7,83,47,1,No,No,60,Average
1147,Male,19,9,64,100,9,Yes,No,90,Excellent
1148,Male,16,8,75,67,10,Yes,No,82,Excellent
1149,Female,16,6,88,49,1,Yes,No,62,Average
1150,Male,20,9,68,69,8,No,Yes,67,Good
1151,Male,19,8,64,66,5,No,No,69,Good
1152,Male,18,7,70,82,4,No,Yes,74,Good
1153,Female,16,2,55,67,1,No,Yes,36,Poor
1154,Female,21,2,76,62,10,No,Yes,57,Average
1155,Male,18,2,86,72,3,Yes,No,57,Average
1156,Female,18,9,73,47,4,Yes,No,58,Average
1157,Male,16,3,67,84,4,No,No,49,Poor
1158,Male,22,3,86,82,6,Yes,Yes,59,Average
1159,Female,21,9,63,64,6,No,No,64,Average
1160,Male,18,6,99,100,9,Yes,Yes,83,Excellent
1161,Female,22,10,53,83,1,No,No,72,Good
1162,Male,20,8,76,57,3,Yes,No,71,Good
1163,Female,18,10,81,73,10,No,Yes,80,Excellent
1164,Female,20,1,50,53,4,Yes,Yes,40,Poor
1165,Male,18,2,50,71,6,Yes,Yes,54,Average
1166,Female,20,9,92,91,5,Yes,No,78,Good
1167,Female,16,8,54,95,5,No,No,75,Good
1168,Female,16,7,51,60,2,No,No,47,Poor
1169,Female,22,2,65,67,9,No,Yes,58,Average
1170,Male,21,6,64,61,2,Yes,Yes,66,Good
1171,Male,22,6,72,86,10,Yes,Yes,70,Good
1172,Female,18,4,61,78,2,Yes,Yes,64,Average
1173,Female,22,10,98,77,7,No,No,80,Excellent
1174,Male,16,8,78,80,4,No,Yes,74,Good
1175,Male,18,8,78,42,0,No,No,50,Average
1176,Female,20,10,82,64,7,Yes,No,77,Good
1177,Male,20,8,82,49,0,No,Yes,61,Average
1178,Female,20,3,52,55,7,No,Yes,50,Average
1179,Female,18,7,76,89,5,Yes,No,69,Good
1180,Male,16,9,93,64,4,No,Yes,76,Good
1181,Female,20,3,72,59,10,No,Yes,51,Average
1182,Female,20,7,91,90,5,Yes,Yes,85,Excellent
1183,Male,16,6,69,51,3,No,No,52,Average
1184,Female,17,3,54,58,1,Yes,No,41,Poor
1185,Female,17,3,61,93,9,Yes,No,59,Average
1186,Female,18,4,78,79,4,No,Yes,60,Average
1187,Female,22,8,62,63,10,No,No,68,Good
1188,Female,20,9,76,50,3,Yes,No,59,Average
1189,Male,22,6,85,99,1,Yes,No,68,Good
1190,Female,18,8,82,49,6,Yes,Yes,74,Good
1191,Male,16,7,53,65,8,No,Yes,65,Good
1192,Male,18,4,51,60,1,No,Yes,40,Poor
1193,Male,18,8,94,93,2,No,No,70,Good
1194,Male,16,5,63,93,2,No,Yes,62,Average
1195,Female,18,2,53,55,6,No,Yes,38,Poor
1196,Female,20,9,51,80,8,Yes,Yes,74,Good
1197,Female,16,10,72,55,9,No,Yes,66,Good
1198,Male,16,9,84,72,8,Yes,No,87,Excellent
1199,Male,21,7,73,56,0,No,Yes,59,Average
1200,Female,21,2,99,77,5,Yes,Yes,69,Good
1201,Male,22,3,99,83,7,No,Yes,65,Good
1202,Female,21,8,52,58,3,Yes,Yes,52,Average
1203,Male,18,9,75,92,8,No,No,74,Good
1204,Female,18,6,99,43,10,No,No,63,Average
1205,Female,19,7,97,68,6,No,Yes,80,Excellent
1206,Male,18,9,67,91,1,No,Yes,76,Good
1207,Female,20,5,70,46,1,No,No,49,Poor
1208,Female,20,7,60,84,7,No,No,61,Average
1209,Male,20,7,67,80,0,Yes,No,68,Good
1210,Male,16,3,88,83,7,Yes,Yes,63,Average
1211,Female,22,6,73,64,9,Yes,Yes,74,Good
1212,Female,18,8,98,44,9,Yes,No,79,Good
1213,Female,21,5,65,47,0,Yes,No,57,Average
1214,Female,20,2,66,89,4,No,Yes,56,Average
1215,Male,17,2,58,94,1,No,Yes,58,Average
1216,Male,22,6,92,62,1,No,No,59,Average
1217,Female,22,6,82,54,1,Yes,Yes,59,Average
1218,Male,16,6,85,76,5,No,Yes,62,Average
1219,Male,18,7,95,86,7,No,No,73,Good
1220,Male,18,2,78,69,10,No,Yes,56,Average
1221,Male,19,9,53,93,1,Yes,No,67,Good
1222,Male,18,4,72,100,8,No,Yes,70,Good
1223,Male,21,9,67,48,10,No,Yes,75,Good
1224,Male,20,10,59,50,10,No,Yes,60,Average
1225,Female,16,10,66,81,3,No,Yes,79,Good
1226,Male,21,5,80,55,10,No,No,69,Good
1227,Female,21,1,60,68,6,No,No,45,Poor
1228,Female,20,3,70,95,5,No,No,58,Average
1229,Female,20,9,56,60,3,No,Yes,60,Average
1230,Male,17,3,56,43,4,No,No,40,Poor
1231,Female,22,6,86,86,5,Yes,Yes,82,Excellent
1232,Male,19,5,81,41,1,No,No,49,Poor
1233,Male,20,6,53,43,4,No,No,49,Poor
1234,Male,22,2,77,48,4,No,No,50,Average
1235,Female,19,1,86,75,3,No,No,48,Poor
1236,Female,20,8,98,75,4,Yes,Yes,74,Good
1237,Female,18,6,85,100,5,Yes,Yes,86,Excellent
1238,Female,20,1,52,42,2,No,No,41,Poor
1239,Female,17,10,82,48,5,No,Yes,73,Good
1240,Male,20,6,82,93,8,No,No,82,Excellent
1241,Female,18,6,93,47,6,No,Yes,70,Good
1242,Female,21,10,86,54,0,No,Yes,75,Good
1243,Female,17,4,52,76,1,Yes,Yes,58,Average
1244,Male,19,3,76,84,3,No,No,52,Average
1245,Male,20,4,85,60,10,No,No,66,Good
1246,Male,19,9,71,74,5,No,No,69,Good
1247,Female,18,9,69,54,4,No,Yes,70,Good
1248,Female,19,6,85,99,4,No,Yes,78,Good
1249,Male,22,6,99,91,2,No,Yes,75,Good
1250,Female,18,8,91,56,7,Yes,Yes,74,Good
1251,Male,17,2,89,87,9,Yes,Yes,63,Average
1252,Male,21,4,53,46,6,No,No,41,Poor
1253,Female,16,9,60,66,10,No,No,68,Good
1254,Female,18,5,91,43,1,Yes,Yes,54,Average
1255,Male,22,3,52,93,6,No,Yes,58,Average
1256,Female,16,5,86,78,1,No,No,69,Good
1257,Female,17,9,79,57,3,Yes,No,66,Good
1258,Male,21,5,95,51,0,No,No,54,Average
1259,Male,20,7,77,72,5,Yes,No,65,Good
1260,Male,17,8,70,99,3,Yes,No,81,Excellent
1261,Male,19,5,71,59,9,Yes,No,66,Good
1262,Female,16,2,79,59,2,No,No,43,Poor
1263,Female,18,10,64,54,2,No,Yes,68,Good
1264,Female,19,9,80,88,8,Yes,Yes,78,Good
1265,Male,20,6,54,98,9,Yes,Yes,81,Excellent
1266,Female,20,9,59,50,5,No,Yes,58,Average
1267,Female,16,9,78,91,0,No,Yes,81,Excellent
1268,Female,19,10,53,75,7,No,Yes,74,Good
1269,Female,22,1,97,53,9,Yes,Yes,64,Average
1270,Female,21,2,84,43,1,No,Yes,45,Poor
1271,Female,17,3,99,81,10,No,No,76,Good
1272,Male,22,7,74,45,10,Yes,No,61,Average
1273,Female,20,7,83,48,3,Yes,Yes,64,Average
1274,Female,21,9,77,74,6,Yes,Yes,83,Excellent
1275,Male,17,5,62,99,1,Yes,No,57,Average
1276,Male,17,2,56,78,0,No,Yes,44,Poor
1277,Female,19,8,64,74,3,Yes,Yes,75,Good
1278,Male,17,10,70,76,9,No,Yes,79,Good
1279,Female,21,9,64,66,4,No,Yes,62,Average
1280,Female,20,8,53,62,10,No,No,70,Good
1281,Female,17,5,74,51,8,No,Yes,57,Average
1282,Male,22,3,79,98,0,No,No,69,Good
1283,Male,19,4,66,53,5,Yes,No,57,Average
1284,Male,20,4,53,57,6,Yes,Yes,50,Average
1285,Female,19,4,71,59,0,Yes,Yes,47,Poor
1286,Female,17,10,95,53,6,Yes,No,79,Good
1287,Female,19,9,91,62,4,No,No,80,Excellent
1288,Female,19,2,96,70,5,Yes,No,65,Good
1289,Female,16,10,64,87,2,Yes,No,80,Excellent
1290,Female,17,4,71,54,6,Yes,No,58,Average
1291,Male,22,8,96,81,7,No,Yes,83,Excellent
1292,Male,17,9,81,51,8,Yes,Yes,67,Good
1293,Male,22,1,76,48,10,Yes,Yes,49,Poor
1294,Male,17,9,79,63,0,No,No,57,Average
1295,Female,20,9,76,40,0,No,No,49,Poor
1296,Female,22,3,56,98,1,Yes,Yes,56,Average
1297,Female,22,6,67,90,6,Yes,No,75,Good
1298,Female,20,4,94,54,4,Yes,Yes,55,Average
1299,Female,19,7,85,70,0,Yes,Yes,61,Average
1300,Male,22,7,91,90,5,Yes,Yes,79,Good
1301,Male,22,10,80,57,0,Yes,No,62,Average
1302,Female,22,6,51,53,9,Yes,No,52,Average
1303,Male,17,10,65,76,6,No,No,69,Good
1304,Female,20,6,53,46,6,Yes,Yes,56,Average
1305,Female,22,6,51,80,4,No,No,57,Average
1306,Male,20,7,77,51,10,No,Yes,67,Good
1307,Female,21,2,55,57,2,No,Yes,45,Poor
1308,Male,18,2,55,40,4,No,No,38,Poor
1309,Male,17,2,61,67,7,No,Yes,42,Poor
1310,Female,18,9,55,78,9,No,No,63,Average
1311,Male,19,7,99,45,8,Yes,Yes,76,Good
1312,Female,17,5,69,57,7,Yes,Yes,57,Average
1313,Female,18,7,69,70,1,No,No,59,Average
1314,Female,20,10,62,69,1,Yes,No,60,Average
1315,Male,18,10,74,91,5,No,No,84,Excellent
1316,Female,18,6,88,100,3,No,No,71,Good
1317,Female,18,5,97,84,10,No,Yes,79,Good
1318,Female,18,7,73,47,9,Yes,Yes,58,Average
1319,Male,21,4,78,91,4,Yes,No,75,Good
1320,Male,21,5,65,56,10,Yes,No,66,Good
1321,Male,19,10,80,77,6,No,Yes,81,Excellent
1322,Female,16,4,92,82,5,Yes,Yes,74,Good
1323,Male,22,7,56,40,1,No,Yes,55,Average
1324,Female,19,6,75,69,10,Yes,No,63,Average
1325,Female,16,5,76,98,1,Yes,Yes,72,Good
1326,Male,18,8,100,53,8,No,No,81,Excellent
1327,Female,19,8,70,44,4,Yes,Yes,53,Average
1328,Female,21,2,93,91,2,Yes,Yes,62,Average
1329,Female,20,7,79,54,6,Yes,Yes,71,Good
1330,Male,16,10,62,68,9,No,No,65,Good
1331,Female,17,5,98,85,1,Yes,Yes,74,Good
1332,Female,17,8,57,56,10,No,No,68,Good
1333,Male,20,2,72,62,7,Yes,No,49,Poor
1334,Female,18,2,65,59,1,Yes,No,42,Poor
1335,Male,19,10,58,76,6,No,Yes,78,Good
1336,Male,20,3,81,58,2,Yes,No,60,Average
1337,Female,22,6,50,71,2,Yes,No,64,Average
1338,Male,19,8,76,85,7,No,Yes,69,Good
1339,Female,22,4,68,42,4,Yes,No,47,Poor
1340,Male,20,8,85,72,1,Yes,No,74,Good
1341,Male,22,8,84,53,6,Yes,Yes,71,Good
1342,Male,19,5,72,95,1,No,Yes,63,Average
1343,Male,22,10,94,62,9,No,Yes,77,Good
1344,Female,22,4,53,76,5,No,Yes,56,Average
1345,Male,18,10,67,100,8,Yes,Yes,91,Excellent
1346,Male,18,3,94,95,2,Yes,Yes,71,Good
1347,Female,22,7,81,49,9,No,No,70,Good
1348,Female,16,2,75,72,4,No,No,60,Average
1349,Female,20,1,99,94,1,No,No,55,Average
1350,Male,17,7,63,71,4,No,No,64,Average
1351,Female,20,8,100,61,10,Yes,Yes,76,Good
1352,Male,16,2,60,68,7,Yes,No,51,Average
1353,Male,21,5,60,95,4,Yes,No,66,Good
1354,Male,18,3,53,65,10,No,Yes,58,Average
1355,Female,21,2,50,53,7,Yes,Yes,45,Poor
1356,Male,16,1,94,61,1,No,Yes,57,Average
1357,Female,17,7,55,86,1,Yes,No,67,Good
1358,Male,17,7,99,92,2,Yes,Yes,88,Excellent
1359,Male,20,3,78,62,3,Yes,No,62,Average
1360,Female,16,2,58,88,1,No,No,55,Average
1361,Male,22,3,65,57,10,Yes,Yes,58,Average
1362,Male,22,5,63,73,9,Yes,No,66,Good
1363,Male,22,4,81,64,1,Yes,No,52,Average
1364,Female,18,6,58,64,9,No,No,58,Average
1365,Male,22,2,51,77,1,Yes,No,45,Poor
1366,Male,16,7,82,58,10,No,No,74,Good
1367,Male,21,9,84,79,2,No,Yes,74,Good
1368,Female,20,4,59,74,5,No,Yes,56,Average
1369,Male,21,4,53,55,1,No,Yes,49,Poor
1370,Female,18,3,57,40,2,Yes,Yes,49,Poor
1371,Female,20,9,100,92,4,Yes,No,83,Excellent
1372,Male,21,2,99,97,0,No,No,64,Average
1373,Female,18,10,90,44,7,No,No,65,Good
1374,Male,22,10,60,63,2,No,Yes,59,Average
1375,Female,21,9,50,42,0,Yes,Yes,60,Average
1376,Male,19,3,61,99,0,No,Yes,58,Average
1377,Male,19,6,67,92,1,No,Yes,72,Good
1378,Female,17,4,83,42,6,Yes,No,58,Average
1379,Female,18,2,85,69,0,No,Yes,52,Average
1380,Male,21,10,65,69,5,No,Yes,69,Good
1381,Male,16,7,51,54,8,No,Yes,59,Average
1382,Male,22,7,97,86,4,Yes,Yes,87,Excellent
1383,Female,19,8,53,49,4,Yes,Yes,57,Average
1384,Male,21,6,79,87,1,Yes,Yes,73,Good
1385,Female,20,10,53,67,10,Yes,Yes,75,Good
1386,Male,22,6,75,84,5,No,No,68,Good
1387,Male,16,4,58,89,9,Yes,Yes,61,Average
1388,Female,19,8,70,66,1,No,Yes,68,Good
1389,Female,19,5,57,45,2,No,Yes,43,Poor
1390,Female,17,2,95,55,5,No,Yes,56,Average
1391,Female,22,3,51,100,6,No,Yes,54,Average
1392,Female,16,3,57,40,0,Yes,Yes,38,Poor
1393,Male,18,2,87,77,4,Yes,Yes,55,Average
1394,Male,21,8,58,45,5,Yes,Yes,65,Good
1395,Female,17,10,77,92,6,No,Yes,86,Excellent
1396,Male,17,6,63,98,2,No,No,71,Good
1397,Female,16,10,89,79,3,No,No,83,Excellent
1398,Male,16,2,67,64,2,No,Yes,54,Average
1399,Female,21,9,100,41,6,No,No,78,Good
1400,Male,20,9,70,64,4,Yes,Yes,72,Good
1401,Male,16,5,53,91,7,No,Yes,60,Average
1402,Male,17,4,67,74,0,Yes,No,58,Average
1403,Male,17,4,87,60,5,Yes,No,58,Average
1404,Male,22,8,84,59,2,No,Yes,59,Average
1405,Male,17,10,64,41,8,No,Yes,66,Good
1406,Male,22,3,71,85,2,No,Yes,48,Poor
1407,Female,20,3,99,47,8,No,Yes,62,Average
1408,Female,20,2,71,59,5,Yes,Yes,57,Average
1409,Female,21,6,61,85,8,No,Yes,64,Average
1410,Female,18,5,58,51,0,No,Yes,42,Poor
1411,Female,22,10,64,80,9,Yes,No,76,Good
1412,Female,21,2,65,62,5,Yes,Yes,53,Average
1413,Male,16,5,63,55,1,No,No,44,Poor
1414,Female,16,7,78,86,6,Yes,No,83,Excellent
1415,Male,18,9,74,46,7,Yes,Yes,74,Good
1416,Female,22,1,68,41,5,No,Yes,34,Poor
1417,Male,17,7,60,86,1,Yes,No,72,Good
1418,Female,19,3,88,96,6,Yes,Yes,67,Good
1419,Male,17,4,76,84,8,No,No,67,Good
1420,Female,16,1,75,76,8,No,Yes,49,Poor
1421,Male,16,7,55,58,10,No,Yes,56,Average
1422,Female,17,3,90,58,1,No,Yes,54,Average
1423,Female,19,8,92,56,1,No,Yes,68,Good
1424,Male,18,3,78,42,4,No,No,48,Poor
1425,Female,22,5,86,43,2,Yes,Yes,59,Average
1426,Male,22,10,64,75,0,No,No,74,Good
1427,Male,19,5,55,65,0,Yes,Yes,58,Average
1428,Male,17,4,62,48,0,No,Yes,48,Poor
1429,Female,22,3,88,56,5,Yes,Yes,63,Average
1430,Female,20,6,67,73,7,Yes,No,62,Average
1431,Female,17,3,86,77,9,Yes,Yes,63,Average
1432,Female,22,9,72,96,6,No,No,86,Excellent
1433,Female,16,3,67,65,2,No,Yes,53,Average
1434,Female,21,4,53,87,7,No,No,51,Average
1435,Female,22,5,69,57,7,Yes,Yes,56,Average
1436,Male,21,8,99,92,5,No,No,76,Good
1437,Male,19,4,76,87,7,No,Yes,74,Good
1438,Male,16,5,95,72,6,Yes,Yes,69,Good
1439,Male,22,4,53,55,0,No,Yes,45,Poor
1440,Female,18,6,79,72,6,Yes,Yes,68,Good
1441,Female,19,10,78,51,7,No,No,68,Good
1442,Male,21,2,68,41,6,Yes,Yes,45,Poor
1443,Female,21,4,93,53,4,No,Yes,50,Average
1444,Female,17,3,88,91,0,Yes,No,65,Good
1445,Female,19,7,72,69,4,Yes,No,68,Good
1446,Male,20,2,50,72,10,No,No,53,Average
1447,Female,19,2,71,57,10,No,No,53,Average
1448,Male,17,3,83,88,3,Yes,No,67,Good
1449,Female,21,1,91,71,4,No,No,59,Average
1450,Female,21,1,87,85,9,Yes,No,65,Good
1451,Female,21,6,82,59,2,Yes,No,57,Average
1452,Male,17,5,96,91,8,Yes,No,74,Good
1453,Female,18,4,97,95,4,No,No,75,Good
1454,Female,20,5,79,94,1,No,Yes,59,Average
1455,Male,17,9,57,95,10,No,No,83,Excellent
1456,Female,22,3,58,52,5,No,No,42,Poor
1457,Male,22,3,99,45,7,No,Yes,60,Average
1458,Male,16,8,67,53,2,Yes,No,55,Average
1459,Male,20,7,90,67,6,No,No,75,Good
1460,Male,16,9,62,86,5,Yes,No,83,Excellent
1461,Male,16,1,90,86,3,Yes,No,62,Average
1462,Female,16,7,82,77,4,Yes,Yes,65,Good
1463,Female,18,8,96,73,9,No,No,76,Good
1464,Male,19,6,98,52,2,No,Yes,61,Average
1465,Male,21,3,63,86,0,Yes,Yes,58,Average
1466,Male,19,5,99,74,9,Yes,Yes,71,Good
1467,Male,16,2,76,68,6,Yes,No,64,Average
1468,Female,17,1,69,66,10,Yes,No,52,Average
1469,Male,22,2,82,86,9,Yes,No,62,Average
1470,Female,19,4,88,52,4,Yes,No,64,Average
1471,Male,17,1,85,71,3,No,No,51,Average
1472,Male,16,2,57,93,9,No,Yes,53,Average
1473,Female,21,2,66,81,3,No,No,52,Average
1474,Female,16,2,61,95,0,No,No,54,Average
1475,Female,21,2,56,94,0,Yes,Yes,50,Average
1476,Male,18,8,89,57,1,No,No,62,Average
1477,Male,19,7,79,57,6,No,No,61,Average
1478,Female,17,1,60,46,6,No,No,37,Poor
1479,Male,22,6,89,41,10,Yes,No,74,Good
1480,Male,19,8,52,44,4,No,Yes,61,Average
1481,Female,21,6,83,73,9,Yes,No,73,Good
1482,Female,18,7,59,93,8,Yes,Yes,71,Good
1483,Female,22,8,60,44,7,No,Yes,60,Average
1484,Male,16,9,64,75,10,No,No,73,Good
1485,Male,19,8,86,68,1,No,No,69,Good
1486,Female,19,1,56,65,6,Yes,Yes,42,Poor
1487,Male,20,9,63,81,10,No,No,79,Good
1488,Male,22,4,79,61,8,No,No,66,Good
1489,Male,16,4,50,61,5,No,No,43,Poor
1490,Male,17,8,58,92,6,Yes,No,72,Good
1491,Male,16,7,63,69,3,No,Yes,65,Good
1492,Male,21,10,57,89,7,No,Yes,83,Excellent
1493,Male,20,1,85,99,6,No,Yes,61,Average
1494,Male,16,7,92,78,9,No,No,82,Excellent
1495,Female,18,7,71,58,7,Yes,Yes,71,Good
1496,Female,22,9,70,85,8,Yes,Yes,78,Good
1497,Female,21,6,93,48,10,Yes,No,65,Good
1498,Male,20,8,87,76,10,No,No,84,Excellent
1499,Female,20,2,51,64,2,Yes,Yes,42,Poor
1500,Male,22,3,68,83,4,Yes,Yes,61,Average
1501,Male,22,9,52,62,7,Yes,Yes,71,Good
1502,Female,20,5,94,82,0,No,No,70,Good
1503,Female,20,1,50,87,4,Yes,No,50,Average
1504,Female,22,10,84,87,9,Yes,Yes,89,Excellent
1505,Female,17,2,61,51,8,Yes,No,43,Poor
1506,Female,18,9,66,48,2,No,Yes,61,Average
1507,Female,21,3,52,49,5,Yes,No,53,Average
1508,Female,16,6,83,54,2,Yes,Yes,66,Good
1509,Female,16,6,64,96,3,No,No,69,Good
