Student_ID,Gender,Age,Attendance,Study_Hours,Assignment_Marks,Internal_Marks,Previous_Semester_Marks,Internet_Access,Family_Support,Extra_Curricular,Sleep_Hours,Daily_Screen_Time,Project_Marks,Quiz_Marks,Class_Participation,Final_Exam_Marks,Performance
STU_2026039,Male,24,76.3,7.9,43.8,40.7,68.0,Yes,High,No,7.5,4.4,82.5,36.2,51.3,60.3,Average
STU_2026040,Male,22,85.5,6.9,52.6,46.2,46.4,Yes,High,No,5.4,1.7,90.0,35.5,62.8,52.9,Average
STU_2026041,Female,24,55.3,7.9,88.5,68.7,79.0,Yes,High,No,6.2,5.3,47.3,59.8,91.2,68.3,Average
STU_2026042,Male,18,78.4,8.6,48.8,48.9,92.1,No,Medium,No,6.2,6.2,88.6,96.2,33.7,72.5,Good
STU_2026043,Female,20,62.8,6.5,60.6,53.4,89.7,Yes,Low,No,6.8,6.4,68.9,45.2,92.2,62.0,Average
STU_2026044,Male,25,98.1,1.8,91.9,61.0,77.6,Yes,High,No,6.2,7.3,67.0,48.0,45.3,73.4,Good
STU_2026045,Female,25,74.2,5.4,49.3,87.8,44.5,Yes,High,No,5.0,3.9,65.4,37.1,77.5,66.9,Average
STU_2026046,Male,19,90.3,1.7,45.0,35.9,46.7,Yes,Medium,No,5.2,7.7,70.6,72.4,70.8,45.5,Poor
STU_2026047,Female,20,77.5,4.7,69.1,77.2,43.0,Yes,High,No,4.7,7.1,96.7,77.6,68.7,67.1,Average
STU_2026048,Female,24,52.2,4.7,58.1,78.5,55.4,Yes,Medium,No,6.9,3.1,72.9,75.0,90.2,68.0,Average
STU_2026049,Male,22,81.7,1.6,73.8,86.9,48.1,Yes,Medium,Yes,9.3,2.1,97.2,90.3,37.1,74.4,Good
STU_2026050,Female,19,97.6,4.1,88.2,95.6,55.6,Yes,Low,No,5.1,4.0,50.8,64.0,54.3,67.0,Average
STU_2026051,Female,24,80.1,2.0,48.2,36.3,63.1,Yes,Medium,Yes,9.2,3.8,83.4,39.4,67.7,49.3,Poor
STU_2026052,Female,23,91.0,8.3,74.8,45.0,96.6,Yes,Medium,No,8.2,5.0,88.7,50.3,86.8,88.9,Excellent
STU_2026053,Female,21,94.2,9.5,70.3,92.6,76.6,Yes,Medium,No,7.7,5.1,80.7,76.4,45.2,84.4,Good
STU_2026054,Female,24,61.4,1.7,48.6,64.8,90.1,Yes,Medium,No,7.7,6.2,76.4,72.9,86.2,66.9,Average
STU_2026055,Female,20,60.6,9.6,77.4,71.7,82.6,Yes,Medium,No,8.6,4.6,73.9,67.2,58.0,74.7,Good
STU_2026056,Male,19,80.5,5.7,56.4,78.1,46.8,Yes,High,Yes,5.0,1.7,91.7,77.8,43.2,69.7,Average
STU_2026057,Male,20,70.6,3.7,69.3,79.1,84.2,Yes,Medium,No,7.0,7.0,89.3,74.6,83.1,77.8,Good
STU_2026058,Male,19,92.0,1.7,44.9,95.6,56.5,Yes,Medium,No,8.0,3.2,47.3,91.7,36.4,73.3,Good
STU_2026059,Male,24,95.0,5.5,67.6,99.8,78.3,No,Medium,No,7.4,7.8,90.9,71.0,66.0,79.2,Good
STU_2026060,Male,18,67.7,8.2,58.4,81.8,60.5,Yes,Medium,Yes,8.7,1.8,64.8,84.5,34.5,65.2,Average
STU_2026061,Male,23,61.8,7.4,89.3,53.7,99.9,Yes,Medium,No,4.9,7.7,55.2,47.4,54.9,65.7,Average
STU_2026062,Female,24,89.0,1.5,43.4,92.2,55.8,Yes,High,No,8.0,1.6,92.2,77.5,72.1,74.6,Good
STU_2026063,Male,25,63.7,1.7,65.1,38.2,56.7,Yes,Medium,No,7.2,2.6,65.9,93.2,68.9,64.7,Average
STU_2026064,Male,20,91.1,4.6,67.5,50.0,95.8,Yes,Medium,No,6.4,1.3,88.5,57.0,58.3,74.7,Good
STU_2026065,Female,21,71.2,3.7,83.5,93.3,41.5,Yes,Low,No,6.2,5.9,55.8,84.5,60.0,62.7,Average
STU_2026066,Male,21,83.4,3.1,74.5,51.7,81.8,Yes,Low,No,7.6,7.0,40.2,80.7,45.9,55.5,Average
STU_2026067,Female,22,54.8,3.5,80.0,49.3,83.5,Yes,High,No,9.0,4.0,69.7,34.2,61.9,59.9,Average
STU_2026068,Male,19,81.2,8.2,86.6,44.0,90.2,Yes,Medium,No,7.0,7.5,46.0,70.7,96.7,65.6,Average
STU_2026069,Female,20,72.6,9.4,91.7,90.8,98.5,Yes,High,Yes,8.6,5.1,85.3,39.1,89.5,90.0,Excellent
STU_2026070,Female,22,79.3,4.6,58.8,67.5,98.5,Yes,High,No,6.5,5.4,56.6,97.7,40.2,71.8,Good
STU_2026071,Male,20,58.4,9.2,72.3,78.9,43.9,Yes,Medium,No,5.0,6.9,66.6,86.8,32.1,62.0,Average
STU_2026072,Male,25,86.8,3.9,90.4,50.5,89.3,Yes,High,Yes,4.8,3.1,45.2,37.7,95.3,66.5,Average
STU_2026073,Female,19,93.1,,99.4,84.3,78.8,No,Medium,Yes,4.8,3.5,57.2,38.5,66.9,72.7,Good
STU_2026074,Female,24,60.8,3.0,93.4,84.4,78.8,Yes,High,No,6.4,7.3,86.9,71.6,67.6,68.6,Average
STU_2026075,Female,24,54.8,6.8,62.3,55.3,47.7,Yes,High,Yes,6.2,7.3,49.1,54.1,84.7,51.3,Average
STU_2026076,Female,21,51.2,9.8,51.7,61.7,79.0,No,Medium,No,8.1,7.8,78.8,32.4,52.0,59.8,Average
STU_2026077,Male,24,82.1,6.4,69.4,48.6,98.9,Yes,Medium,Yes,8.2,7.3,95.0,67.9,63.7,79.9,Good
STU_2026078,Male,24,80.4,4.2,84.5,98.5,94.7,Yes,Low,Yes,4.8,1.9,80.8,57.1,97.8,79.6,Good
STU_2026079,Male,25,77.3,6.8,69.6,77.0,66.3,Yes,Medium,Yes,5.6,6.8,88.7,37.1,77.1,69.9,Average
STU_2026080,Female,18,61.6,2.1,69.0,95.7,42.4,No,Medium,Yes,5.9,3.9,46.5,86.1,40.8,61.6,Average
STU_2026081,Female,21,69.5,9.0,90.3,54.7,61.7,No,High,No,7.2,7.9,55.0,94.1,39.3,70.7,Good
STU_2026082,Male,22,79.7,5.5,61.7,85.8,89.6,Yes,High,No,5.2,4.3,93.7,83.0,44.3,85.9,Excellent
STU_2026083,Male,23,74.8,5.0,91.6,84.8,82.1,Yes,High,Yes,5.2,4.9,82.9,87.6,83.7,84.7,Good
STU_2026084,Male,18,99.4,6.3,64.4,80.0,67.6,Yes,Medium,No,9.2,4.7,78.4,45.2,50.7,69.1,Average
STU_2026085,Male,22,56.8,6.6,59.7,97.8,43.3,Yes,Medium,No,8.5,3.3,79.8,48.5,31.5,64.3,Average
STU_2026086,Female,19,84.8,1.6,67.2,60.6,65.6,Yes,Medium,No,5.4,1.5,64.9,44.6,96.1,61.1,Average
STU_2026087,Female,18,70.2,7.1,85.7,43.5,68.1,Yes,Medium,No,6.5,7.3,42.7,83.6,41.9,56.3,Average
STU_2026088,Female,25,71.4,3.2,47.6,78.7,95.7,Yes,Medium,No,6.3,6.6,87.1,96.4,30.7,73.3,Good
STU_2026089,Male,22,85.9,7.4,51.8,82.4,78.5,Yes,High,No,8.5,2.0,80.7,80.2,46.6,81.9,Good
STU_2026090,Male,19,84.6,8.4,97.1,72.4,,Yes,High,No,7.1,6.4,68.4,91.7,46.5,79.4,Good
STU_2026091,Female,21,99.6,8.2,50.5,48.4,71.5,Yes,Medium,Yes,5.1,5.4,94.0,74.7,59.5,73.3,Good
STU_2026092,Female,23,56.4,6.0,74.1,67.8,44.0,Yes,Medium,No,8.2,3.9,60.2,57.1,94.4,71.8,Good
STU_2026093,Female,19,55.2,5.7,74.8,55.3,98.4,No,Low,No,6.5,2.8,57.7,59.8,91.5,62.5,Average
STU_2026094,Female,24,86.2,2.3,69.4,62.8,61.6,Yes,High,No,5.8,7.0,92.4,35.3,62.0,67.3,Average
STU_2026095,Female,20,78.9,8.0,78.7,76.9,68.7,Yes,Low,No,6.4,5.9,87.8,32.2,58.8,65.5,Average
STU_2026096,Female,19,63.7,3.4,53.8,83.4,61.3,Yes,High,No,7.0,4.8,70.9,78.7,68.9,73.0,Good
STU_2026097,Male,19,54.0,5.5,73.2,50.1,81.0,Yes,High,Yes,6.2,5.3,47.8,60.7,47.0,66.9,Average
STU_2026098,Male,23,54.3,3.6,62.3,61.3,79.7,No,Low,No,5.7,1.6,52.9,68.7,33.7,57.9,Average
STU_2026099,Male,20,94.7,2.2,79.7,52.5,,Yes,High,No,6.5,4.3,79.4,69.0,95.7,72.7,Good
STU_2026100,Male,24,59.6,6.7,48.5,47.9,56.1,Yes,Medium,No,4.6,2.4,63.1,49.4,43.1,50.9,Average
STU_2026101,Female,22,66.2,1.5,74.3,85.9,58.9,Yes,High,No,8.4,2.5,90.2,63.3,43.9,70.9,Good
STU_2026102,Male,22,61.3,7.7,51.1,94.1,47.5,Yes,Medium,No,5.4,5.6,97.0,63.0,63.1,68.1,Average
STU_2026103,Female,19,67.7,3.9,56.7,59.1,79.3,Yes,Low,Yes,4.7,7.4,88.3,57.2,64.4,66.5,Average
STU_2026104,Female,25,53.5,1.0,53.1,83.8,42.4,Yes,High,No,7.8,3.8,62.7,87.4,31.3,63.8,Average
STU_2026105,Male,25,76.0,5.6,51.0,93.3,75.9,Yes,Medium,No,8.4,2.5,87.3,61.6,40.4,80.7,Good
STU_2026106,Male,20,53.4,1.4,89.5,90.0,92.2,Yes,High,No,8.6,5.5,61.1,72.3,56.5,77.6,Good
STU_2026107,Female,20,90.0,3.5,57.1,46.9,93.4,Yes,Medium,Yes,7.0,7.1,50.0,92.7,77.9,61.9,Average
STU_2026108,Male,24,61.7,7.4,95.6,97.2,66.9,No,High,No,5.5,6.2,42.0,90.6,46.0,75.8,Good
STU_2026109,Male,23,77.0,1.6,98.2,59.5,67.6,Yes,High,No,8.2,7.1,63.1,92.3,59.6,61.0,Average
STU_2026110,Male,21,94.0,8.6,74.3,57.1,44.6,No,High,No,8.0,4.8,94.2,48.9,69.0,64.6,Average
STU_2026111,Male,22,82.5,1.0,48.6,39.1,80.2,Yes,High,No,5.7,6.3,54.3,32.4,92.2,49.2,Poor
STU_2026112,Female,23,76.6,3.2,62.5,66.6,89.3,Yes,Low,No,9.0,2.0,52.4,48.3,52.8,58.6,Average
STU_2026113,Female,18,66.2,7.7,87.9,42.1,54.7,Yes,High,Yes,5.0,3.4,98.2,49.5,39.3,67.8,Average
STU_2026114,Female,22,66.7,3.8,62.0,51.2,65.3,Yes,High,Yes,9.4,3.7,41.5,93.7,64.2,61.9,Average
STU_2026115,Female,23,83.5,1.9,45.2,55.6,90.3,Yes,Medium,No,8.8,4.6,87.1,75.4,82.3,69.0,Average
STU_2026116,Female,22,99.7,4.2,73.4,87.6,92.6,Yes,High,No,7.9,7.5,59.3,35.7,37.7,78.8,Good
STU_2026117,Male,21,83.1,3.4,90.7,91.9,54.6,Yes,Medium,Yes,9.2,7.1,42.2,39.5,59.7,61.4,Average
STU_2026118,Female,18,77.9,8.6,87.8,54.7,73.0,Yes,Low,Yes,8.1,1.9,95.1,40.9,31.2,68.1,Average
STU_2026119,Female,25,86.5,3.8,50.5,90.8,51.5,Yes,Medium,Yes,5.5,2.2,48.4,74.1,32.3,65.3,Average
STU_2026120,Female,25,73.3,8.1,80.4,90.7,46.1,Yes,Low,No,6.7,3.5,73.1,81.5,63.8,68.3,Average
STU_2026121,Female,21,53.0,9.0,53.2,84.7,94.7,Yes,Medium,Yes,4.9,3.0,56.4,90.2,50.9,69.9,Average
STU_2026122,Male,24,78.1,4.9,53.1,44.5,89.2,Yes,High,No,6.4,5.3,43.9,95.8,89.2,68.1,Average
STU_2026123,Male,18,97.9,9.2,92.4,79.9,85.6,Yes,Medium,No,8.2,7.3,43.0,44.1,72.2,81.6,Good
STU_2026124,Male,19,58.8,4.4,55.0,96.4,42.9,Yes,Medium,Yes,6.4,7.7,46.9,51.7,61.8,64.3,Average
STU_2026125,Male,23,84.5,9.7,55.8,79.4,90.6,Yes,Medium,No,6.2,5.6,44.3,46.8,58.6,67.9,Average
STU_2026126,Female,18,60.0,1.8,40.0,56.6,66.3,Yes,Low,Yes,7.5,6.9,85.6,55.1,64.8,59.2,Average
STU_2026127,Female,24,76.8,7.2,92.2,67.5,60.5,Yes,Medium,No,8.9,4.7,69.1,94.0,32.8,76.0,Good
STU_2026128,Male,24,54.8,5.4,87.6,77.0,72.8,Yes,Low,Yes,4.7,2.5,60.6,70.3,92.5,67.7,Average
STU_2026129,Female,21,72.5,4.5,77.6,68.2,45.5,Yes,Medium,No,6.4,4.7,65.1,81.7,99.9,69.2,Average
STU_2026130,Male,22,87.8,6.7,85.0,42.8,85.4,Yes,Medium,No,5.3,4.9,95.7,64.3,42.7,72.4,Good
STU_2026131,Male,18,67.4,7.3,49.1,55.3,74.9,Yes,Medium,Yes,8.0,6.2,94.6,32.0,38.4,68.3,Average
STU_2026132,Male,23,83.2,1.0,67.5,87.2,51.2,Yes,High,Yes,5.0,2.5,82.9,34.5,40.1,68.6,Average
STU_2026133,Male,18,89.8,2.5,61.1,91.0,51.3,Yes,Low,No,7.8,3.6,93.1,67.7,76.3,77.4,Good
STU_2026134,Female,20,96.4,7.4,45.6,43.9,51.1,Yes,Medium,Yes,5.9,3.5,59.2,80.3,76.3,58.9,Average
STU_2026135,Male,22,,7.0,69.2,96.9,43.4,Yes,High,No,5.5,7.7,62.9,45.1,89.4,61.7,Average
STU_2026136,Female,23,70.0,9.7,95.2,56.4,75.3,No,High,No,9.2,4.1,76.8,80.5,82.6,78.5,Good
STU_2026137,Female,25,57.6,7.8,42.4,78.1,90.4,Yes,Medium,No,4.6,6.3,77.4,86.7,61.5,66.9,Average
STU_2026138,Male,23,99.6,9.6,57.5,83.9,41.0,Yes,High,No,6.7,6.3,68.9,58.8,72.9,71.4,Good
STU_2026139,Female,19,96.4,7.3,52.5,87.8,42.9,Yes,High,No,4.6,2.9,64.0,82.2,78.2,70.0,Good
STU_2026140,Female,21,77.0,3.7,54.3,96.5,74.4,Yes,Medium,No,6.9,5.0,99.2,58.3,65.9,80.5,Good
STU_2026141,Male,19,92.1,1.9,94.5,55.3,89.2,Yes,High,No,7.0,7.3,89.3,77.5,63.3,82.1,Good
STU_2026142,Female,23,76.0,8.0,68.1,90.8,59.6,Yes,Medium,Yes,6.1,4.3,66.1,83.5,75.2,76.6,Good
STU_2026143,Male,22,81.2,6.8,68.0,43.6,61.0,No,High,Yes,5.2,7.6,83.6,99.4,69.0,64.1,Average
STU_2026144,Male,18,54.5,1.4,85.6,80.8,75.8,Yes,High,No,6.4,2.5,56.2,54.2,75.1,71.6,Good
STU_2026145,Male,25,87.8,4.2,49.3,83.2,56.5,Yes,Medium,No,7.9,1.5,46.0,58.8,72.9,59.1,Average
STU_2026146,Female,18,56.4,9.6,69.2,79.1,41.6,No,Medium,No,8.4,7.2,61.1,41.6,80.3,61.3,Average
STU_2026147,Female,22,91.3,5.5,65.8,51.4,84.1,No,High,Yes,7.2,6.9,64.2,44.3,75.0,61.5,Average
STU_2026148,Male,23,89.1,4.9,75.8,91.7,77.5,Yes,High,No,7.4,7.9,41.0,78.5,66.4,77.2,Good
STU_2026149,Male,24,85.4,5.1,100.0,46.0,74.8,No,Medium,Yes,5.5,5.8,88.9,94.2,77.7,64.5,Average
STU_2026150,Female,18,51.8,,86.2,38.5,84.5,Yes,High,Yes,5.9,7.6,61.6,57.6,61.5,56.5,Average
STU_2026151,Male,24,65.2,4.3,63.9,81.6,80.5,No,High,No,5.3,6.8,74.8,42.6,46.9,70.4,Good
STU_2026152,Male,18,63.2,4.3,89.7,65.9,52.4,Yes,High,Yes,5.7,6.9,44.4,50.0,30.1,62.5,Average
STU_2026153,Female,18,68.0,1.5,50.2,90.2,61.1,Yes,Medium,No,5.6,5.0,50.5,61.9,69.2,62.7,Average
STU_2026154,Female,25,54.4,7.9,41.8,59.9,47.6,Yes,Medium,No,7.1,3.7,93.4,50.3,71.3,64.4,Average
STU_2026155,Male,21,96.8,4.7,52.3,45.9,47.8,Yes,Medium,No,7.3,7.5,76.5,46.4,98.0,57.3,Average
STU_2026156,Female,21,77.7,8.4,60.4,89.4,80.6,Yes,Medium,No,9.2,4.0,97.0,81.5,55.3,82.8,Good
STU_2026157,Female,20,65.3,8.7,70.6,70.7,91.5,Yes,Medium,Yes,5.5,4.8,99.9,30.5,57.6,74.2,Good
STU_2026158,Male,19,69.8,2.9,76.9,47.3,97.8,Yes,Medium,Yes,7.7,4.1,62.3,67.7,44.1,74.1,Good
STU_2026159,Female,22,72.4,6.9,94.6,81.8,77.7,Yes,Medium,No,8.6,5.0,57.9,85.6,34.9,75.0,Good
STU_2026160,Male,22,80.0,5.3,70.6,68.2,51.0,Yes,High,No,7.3,4.3,91.5,48.6,84.1,71.6,Good
STU_2026161,Female,22,75.8,8.9,70.1,74.3,46.3,Yes,Medium,No,5.8,1.3,99.9,72.2,47.5,71.2,Good
STU_2026162,Female,20,96.0,2.9,43.0,65.0,88.8,Yes,Medium,Yes,5.8,7.2,77.8,76.8,72.6,65.1,Average
STU_2026163,Female,21,74.8,7.1,42.1,88.9,74.7,Yes,Medium,No,4.7,4.1,87.7,75.9,78.1,76.0,Good
STU_2026164,Male,23,99.6,6.5,73.1,88.9,77.1,No,High,No,6.0,5.1,86.9,61.2,63.0,76.0,Good
STU_2026165,Female,24,92.6,3.7,66.3,81.1,86.9,Yes,High,No,8.2,2.0,61.3,54.3,91.3,80.6,Good
STU_2026166,Male,25,60.4,2.2,90.4,41.9,82.2,Yes,Medium,No,4.7,1.0,74.5,88.5,61.1,70.5,Good
STU_2026167,Male,24,96.5,6.9,49.6,89.5,90.1,Yes,Medium,Yes,5.6,2.7,90.0,83.1,49.9,78.8,Good
STU_2026168,Male,23,55.8,7.6,41.5,78.6,43.4,Yes,Low,Yes,8.0,5.9,81.3,52.5,92.7,61.2,Average
STU_2026169,Female,25,90.9,3.8,66.9,80.3,84.9,Yes,High,No,8.4,1.7,41.3,37.2,90.3,75.6,Good
STU_2026170,Female,20,69.0,6.8,54.2,58.6,91.1,Yes,Medium,No,6.8,7.4,60.2,35.0,41.5,58.4,Average
STU_2026171,Male,23,93.9,4.6,43.0,92.2,57.2,Yes,Medium,Yes,8.0,2.5,48.7,36.6,31.8,67.9,Average
STU_2026172,Female,22,93.4,7.4,83.5,82.1,78.4,Yes,Low,No,6.4,2.4,54.0,70.8,36.3,73.4,Good
STU_2026173,Male,19,90.3,2.8,46.7,42.3,58.8,Yes,Medium,Yes,5.3,2.3,94.3,33.6,50.1,60.5,Average
STU_2026174,Female,18,89.5,9.0,76.5,61.5,97.5,Yes,Medium,Yes,6.5,1.1,42.2,53.6,98.1,70.9,Good
STU_2026175,Male,24,65.2,3.6,56.9,92.6,42.0,No,Medium,Yes,7.4,6.4,53.2,82.7,69.1,58.9,Average
STU_2026176,Female,21,54.0,4.3,50.4,38.1,74.8,Yes,Medium,Yes,9.2,7.1,58.6,50.6,56.1,49.9,Poor
STU_2026177,Male,21,70.1,1.5,62.8,97.5,50.0,Yes,Low,No,4.8,5.3,77.0,83.4,92.2,64.6,Average
STU_2026178,Female,20,58.7,2.0,88.1,79.1,82.7,Yes,High,No,7.0,2.3,72.0,82.2,61.7,82.2,Good
STU_2026179,Male,25,84.7,5.6,63.5,76.0,50.6,Yes,High,Yes,6.1,3.0,53.1,47.2,52.1,60.2,Average
STU_2026180,Male,21,67.3,3.4,85.0,52.6,54.1,Yes,Low,Yes,7.0,4.3,49.9,81.0,95.9,70.9,Good
STU_2026181,Male,22,98.8,8.5,47.5,51.2,69.7,Yes,Medium,No,4.6,7.7,54.2,82.3,89.5,65.2,Average
STU_2026182,Female,24,,1.1,86.4,96.2,94.9,No,Medium,Yes,6.1,2.7,70.2,57.8,89.1,78.2,Good
STU_2026183,Female,23,91.1,4.4,54.2,54.4,52.7,Yes,Medium,No,8.6,6.1,56.3,44.7,65.9,55.5,Average
STU_2026184,Male,22,56.6,4.0,80.6,85.4,48.7,Yes,High,Yes,7.3,4.1,96.9,66.5,85.3,73.6,Good
STU_2026185,Female,20,93.1,1.2,73.9,60.6,85.5,Yes,Medium,No,6.8,3.1,67.8,94.5,42.6,78.3,Good
STU_2026186,Female,22,96.1,2.1,95.7,44.1,70.0,Yes,Medium,Yes,5.9,4.2,43.5,74.8,70.1,61.1,Average
STU_2026187,Female,23,74.4,4.7,63.2,35.7,94.7,Yes,High,Yes,6.0,1.5,83.8,42.1,98.9,67.4,Average
STU_2026188,Female,19,80.3,5.4,44.0,70.4,48.8,Yes,High,Yes,6.4,6.6,59.7,77.8,50.4,53.0,Average
STU_2026189,Male,20,88.2,4.6,41.1,98.4,78.8,Yes,Medium,Yes,8.7,2.7,79.2,59.9,85.6,77.8,Good
STU_2026190,Male,19,58.7,5.8,89.6,59.0,54.0,Yes,High,No,9.3,6.1,56.8,71.4,64.3,58.0,Average
STU_2026191,Female,18,75.1,6.4,71.5,58.2,49.4,Yes,Low,No,6.7,1.5,74.2,81.4,32.8,60.0,Average
STU_2026192,Female,19,69.9,1.1,86.5,57.4,81.0,Yes,High,Yes,6.5,7.7,86.3,66.0,83.4,68.2,Average
STU_2026193,Female,18,57.3,5.2,54.1,68.8,75.6,Yes,Medium,Yes,8.7,2.4,95.7,87.0,41.8,67.3,Average
STU_2026194,Male,18,68.4,9.7,60.7,63.6,85.3,Yes,Low,No,6.6,7.2,55.7,80.6,74.2,61.1,Average
STU_2026195,Male,19,53.4,5.7,41.8,92.2,58.6,Yes,Medium,No,7.3,6.7,60.1,73.1,36.0,65.8,Average
STU_2026196,Female,20,51.3,7.1,97.7,67.9,66.9,Yes,Medium,No,5.7,7.8,67.9,40.6,96.3,62.1,Average
STU_2026197,Female,25,56.8,3.8,80.1,68.0,64.3,Yes,Medium,No,8.2,4.3,95.6,88.5,50.4,72.5,Good
STU_2026198,Female,23,98.2,8.0,96.0,44.0,99.0,Yes,High,No,7.2,6.1,94.1,95.5,45.9,85.3,Excellent
STU_2026199,Female,22,77.5,8.0,55.9,98.9,57.5,Yes,High,No,8.5,3.6,45.4,39.6,39.0,77.0,Good
